company_name,source,score
Abiosciences,biopharmguy_bioinformatics,1.0
Accel Diagnostics,biopharmguy_bioinformatics,1.0
Advanced Brain Monitoring,biopharmguy_bioinformatics,1.0
Almaden Genomics,biopharmguy_bioinformatics,1.0
Antigen Discovery,biopharmguy_bioinformatics,1.0
Ariana Pharma,biopharmguy_bioinformatics,1.0
Arzeda,biopharmguy_bioinformatics,1.0
Basepair,biopharmguy_bioinformatics,1.0
Beacon Biosignals,biopharmguy_bioinformatics,1.0
Bio-Rad,biopharmguy_bioinformatics,1.0
BioAge Labs,biopharmguy_bioinformatics,1.0
BioMap,biopharmguy_bioinformatics,1.0
Bionano Genomics,biopharmguy_bioinformatics,1.0
BioTuring,biopharmguy_bioinformatics,1.0
Blackrock Neurotech,biopharmguy_bioinformatics,1.0
Cellworks,biopharmguy_bioinformatics,1.0
Celmatix,biopharmguy_bioinformatics,1.0
Centaur Labs,biopharmguy_bioinformatics,1.0
Certara,biopharmguy_bioinformatics,1.0
ChromaCode,biopharmguy_bioinformatics,1.0
Collaborations Pharmaceuticals,biopharmguy_bioinformatics,1.0
Collaborative Drug Discovery,biopharmguy_bioinformatics,1.0
Cortechs.ai,biopharmguy_bioinformatics,1.0
DNAnexus,biopharmguy_bioinformatics,1.0
DNASTAR,biopharmguy_bioinformatics,1.0
EpiVax,biopharmguy_bioinformatics,1.0
Era7 Bioinformatics,biopharmguy_bioinformatics,1.0
Flagship Biosciences,biopharmguy_bioinformatics,1.0
Form Bio,biopharmguy_bioinformatics,1.0
G3 Therapeutics,biopharmguy_bioinformatics,1.0
Genetesis,biopharmguy_bioinformatics,1.0
Genialis,biopharmguy_bioinformatics,1.0
GenoSpace,biopharmguy_bioinformatics,1.0
Glytec,biopharmguy_bioinformatics,1.0
Igenbio,biopharmguy_bioinformatics,1.0
Illumina,biopharmguy_bioinformatics,1.0
Incogen,biopharmguy_bioinformatics,1.0
iRhythm Technologies,biopharmguy_bioinformatics,1.0
LatchBio,biopharmguy_bioinformatics,1.0
Medivis,biopharmguy_bioinformatics,1.0
Micron Solutions,biopharmguy_bioinformatics,1.0
Mimetics,biopharmguy_bioinformatics,1.0
Nexilico,biopharmguy_bioinformatics,1.0
Omics Edge,biopharmguy_bioinformatics,1.0
Optra Health,biopharmguy_bioinformatics,1.0
Panorama Medicine,biopharmguy_bioinformatics,1.0
Protein Metrics,biopharmguy_bioinformatics,1.0
PsychoGenics,biopharmguy_bioinformatics,1.0
Qrono,biopharmguy_bioinformatics,1.0
Resonant Therapeutics,biopharmguy_bioinformatics,1.0
RevivBio,biopharmguy_bioinformatics,1.0
Sciex,biopharmguy_bioinformatics,1.0
SciGenom,biopharmguy_bioinformatics,1.0
Sirenas,biopharmguy_bioinformatics,1.0
Strata Oncology,biopharmguy_bioinformatics,1.0
Strateos,biopharmguy_bioinformatics,1.0
Ten63 Therapeutics,biopharmguy_bioinformatics,1.0
TeselaGen Biotechnology,biopharmguy_bioinformatics,1.0
Varian Medical Systems,biopharmguy_bioinformatics,1.0
Velsera,biopharmguy_bioinformatics,1.0
Verana Health,biopharmguy_bioinformatics,1.0
VeriSIM Life,biopharmguy_bioinformatics,1.0
Via Scientific,biopharmguy_bioinformatics,1.0
Johnson & Johnson,wikipedia_largest_biomedical_us,999
Merck & Co.,wikipedia_largest_biomedical_us,996
Pfizer,wikipedia_largest_biomedical_us,995
AbbVie,wikipedia_largest_biomedical_us,994
Bristol Myers Squibb,wikipedia_largest_biomedical_us,990
Eli Lilly & Co,wikipedia_largest_biomedical_us,989
Abbott Laboratories,wikipedia_largest_biomedical_us,987
Amgen,wikipedia_largest_biomedical_us,983
Gilead Sciences,wikipedia_largest_biomedical_us,980
GE Healthcare,wikipedia_largest_biomedical_us,976
Kenvue,wikipedia_largest_biomedical_us,973
Viatris,wikipedia_largest_biomedical_us,972
Regeneron Pharmaceuticals,wikipedia_largest_biomedical_us,971
Vertex Pharmaceuticals,wikipedia_largest_biomedical_us,969
Baxter International,wikipedia_largest_biomedical_us,968
Moderna,wikipedia_largest_pharma_us,994
Stryker Corporation,wikipedia_largest_pharma_us,984
Zoetis,wikipedia_largest_pharma_us,983
Biogen,wikipedia_largest_pharma_us,975
Alexion Pharmaceuticals,wikipedia_largest_pharma_us,974
Seagen,wikipedia_largest_pharma_us,973
Alnylam Pharmaceuticals,wikipedia_largest_pharma_us,969
Incyte,wikipedia_largest_pharma_us,968
BioMarin,wikipedia_largest_pharma_us,967
Horizon Therapeutics,wikipedia_largest_pharma_us,964
10x Genomics,wikipedia_largest_pharma_us,963
Elanco,wikipedia_largest_pharma_us,961
AAT Bioquest,biopharmguy_biotech_keywords,1.0
Active Motif,biopharmguy_biotech_keywords,1.0
Ambry Genetics,biopharmguy_biotech_keywords,1.0
Applied Biomics,biopharmguy_biotech_keywords,1.0
ArgenTAG,biopharmguy_biotech_keywords,1.0
BioDynami,biopharmguy_biotech_keywords,1.0
BioReference Laboratories,biopharmguy_biotech_keywords,1.0
CinderBio,biopharmguy_biotech_keywords,1.0
Claret Bioscience,biopharmguy_biotech_keywords,1.0
Codetta Biosciences,biopharmguy_biotech_keywords,1.0
